==============================================================================
  Time (s)    DT (s)  CV  NIT Max Residual    Fluid      Elapsed      Left    
      0.1227  0.57E-03  C  11 P0=0.40E-03     0.12s      23.84s       1.08h   
      0.1233  0.64E-03  C  11 P0=0.43E-03     0.13s      23.97s       1.08h   
      0.1239  0.64E-03  C  12 P0=0.34E-03     0.13s      24.10s       1.08h   
      0.1245  0.64E-03  C  11 P0=0.44E-03     0.13s      24.23s       1.08h   
      0.1252  0.64E-03  C  11 P0=0.41E-03     0.13s      24.36s       1.08h   
      0.1258  0.64E-03  C  11 P0=0.42E-03     0.13s      24.50s       1.08h   
      0.1264  0.64E-03  C  11 P0=0.39E-03     0.13s      24.62s       1.08h   
      0.1272  0.71E-03  C  11 P0=0.42E-03     0.08s      24.71s       1.08h   
      0.1277  0.64E-03  C  11 P0=0.39E-03     0.25s      24.96s       1.08h   
      0.1284  0.64E-03  C  11 P0=0.50E-03     0.13s      25.09s       1.08h   
      0.1290  0.64E-03  C  11 P0=0.43E-03     0.13s      25.21s       1.08h   
      0.1296  0.57E-03  C  11 P0=0.33E-03     0.25s      25.47s       1.09h   
      0.1301  0.57E-03  C  11 P0=0.28E-03     0.13s      25.59s       1.09h   
      0.1307  0.57E-03  C  11 P0=0.27E-03     0.13s      25.72s       1.09h   
      0.1313  0.57E-03  C  11 P0=0.25E-03     0.13s      25.85s       1.09h   
      0.1319  0.57E-03  C  11 P0=0.25E-03     0.13s      25.98s       1.09h   
      0.1325  0.64E-03  C  11 U1=0.30E-03     0.14s      26.11s       1.09h   
      0.1331  0.64E-03  C  46 V1=0.35E-03     0.35s      26.46s       1.10h   
      0.1336  0.57E-03  C  44 V1=0.43E-03     0.39s      26.85s       1.11h   
      0.1342  0.57E-03  C  15 V1=0.67E-03     0.11s      26.96s       1.11h   
      0.1348  0.57E-03  C  15 V1=0.60E-03     0.11s      27.07s       1.11h   
      0.1354  0.57E-03  C  14 V1=0.72E-03     0.10s      27.17s       1.11h   
      0.1359  0.57E-03  C  14 V1=0.54E-03     0.14s      27.32s       1.11h   
      0.1366  0.64E-03  C  13 V1=0.57E-03     0.14s      27.46s       1.11h   
      0.1372  0.64E-03  C  13 V1=0.43E-03     0.14s      27.60s       1.12h   
      0.1378  0.64E-03  C  12 V1=0.47E-03     0.13s      27.73s       1.12h   
      0.1384  0.64E-03  C  15 U1=0.31E-03     0.15s      27.88s       1.12h   
      0.1389  0.46E-03  C  34 V1=0.57E-03     0.30s      28.19s       1.12h   
      0.1393  0.38E-03  C  20 V1=0.60E-03     0.58s      28.77s       1.14h   
      0.1396  0.38E-03  C  21 V1=0.51E-03     0.14s      28.90s       1.14h   
      0.1400  0.38E-03  C  15 V1=0.72E-03     0.10s      29.01s       1.15h   
      0.1404  0.38E-03  C  13 V1=0.31E-03     0.09s      29.10s       1.15h   
      0.1408  0.38E-03  C  12 V1=0.45E-03     0.09s      29.19s       1.15h   
      0.1412  0.42E-03  C  14 V1=0.63E-03     0.10s      29.29s       1.15h   
      0.1416  0.42E-03  C  15 V1=0.89E-03     0.11s      29.40s       1.15h   
      0.1420  0.42E-03  C  16 V1=0.78E-03     0.11s      29.51s       1.15h   
      0.1424  0.42E-03  C  16 V1=0.80E-03     0.11s      29.62s       1.15h   
      0.1428  0.42E-03  C  16 V1=0.90E-03     0.11s      29.73s       1.15h   
      0.1432  0.42E-03  C  17 V1=0.88E-03     0.11s      29.84s       1.15h   
      0.1437  0.46E-03  C  17 V1=0.94E-03     0.20s      30.04s       1.16h   
      0.1441  0.46E-03  C  18 V1=0.82E-03     0.12s      30.16s       1.16h   
      0.1446  0.46E-03  C  18 V1=0.85E-03     0.12s      30.28s       1.16h   
      0.1451  0.46E-03  C  18 V1=0.90E-03     0.12s      30.41s       1.16h   
      0.1455  0.46E-03  C  18 V1=0.94E-03     0.12s      30.53s       1.16h   
      0.1460  0.46E-03  C  19 V1=0.81E-03     0.13s      30.65s       1.16h   
      0.1464  0.42E-03  C  19 V1=0.85E-03     0.13s      30.78s       1.16h   
